"E","E4"
"E","E4*"
"E","EB"
"E","EC"
"E","ED"
"E","EM"
"E","EN"
"E","EP"
"E4","EC4"
"E4","ED4"
"E4","EM4"
"E4*","EC4*"
"E4*","EM4*"
"EB","ETB"
"EB","KB"
"EC","EC4*"
"EC","ECD"
"EC","EMC"
"EC4","K4"
"EC4*","EC4"
"ECD","ECP"
"ECP","ECT"
"ECP","KD"
"ECT","KT"
"ED","ECD"
"ED","ED4"
"ED","EMD"
"ED","ET"
"ED4","KD4"
"EM","EM4"
"EM","EMC"
"EM","EMP"
"EM4","EM4*"
"EM4*","K4"
"EM4*","mGL"
"EMC","K"
"EMD","EMD5"
"EMD","EMT"
"EMD","KD"
"EMD5","KD5"
"EMP","EMD"
"EMT","KT"
"EN","K"
"EP","ECP"
"EP","EMP"
"EP","ET"
"ET","ECT"
"ET","EMT"
"ET","ETB"
"ET5","KT5"
"ETB","ET5"
"ETB","KTB"
"GL","GL.2"
"GL.2","GL.3"
"GL.3","Ver"
"Grz","Grz.2"
"Grz.2","Grz.3"
"Grz.3","Triv"
"K","K.2"
"K","K5"
"K","KAlt₂"
"K","KB"
"K","KD"
"K","wK4"
"K.1","K4.1"
"K.1","KDAlt₁"
"K.2","K4.2"
"K.2","KAlt₂.2"
"K4","GL"
"K4","K4.2"
"K4","KD4"
"K4.1","S4.1"
"K4.2","GL.2"
"K4.2","K4.3"
"K4.2","KD4.2"
"K4.3","GL.3"
"K4.3","K45"
"K4.3","KD4.3"
"K45","KB4"
"K5","K45"
"K5","KB5"
"K5","KD5"
"KAlt₁","KDAlt₁"
"KAlt₁","KTᵈ"
"KAlt₂","KAlt₂.2"
"KAlt₂","KDAlt₂"
"KAlt₂.2","KAlt₁"
"KAlt₂.2","KDAlt₂.2"
"KB","KB5"
"KB","KDB"
"KB4","KTᵈ"
"KB4","S5"
"KB5","KB4"
"KB5","KT5"
"KD","K.1"
"KD","KD4"
"KD","KD5"
"KD","KDAlt₂"
"KD","KDB"
"KD","KT"
"KD4","K4.1"
"KD4","KD4.2"
"KD4","S4"
"KD4.2","KD4.3"
"KD4.2","S4.2"
"KD4.3","S4.3"
"KD5","KT5"
"KDAlt₁","Triv"
"KDAlt₂","KDAlt₂.2"
"KDAlt₂.2","KDAlt₁"
"KDAlt₂.2","KTAlt₂"
"KDB","KTB"
"KT","KTAlt₂"
"KT","KTB"
"KT","S4"
"KT5","S5"
"KTAlt₂","Triv"
"KTB","KT5"
"KTᵈ","Triv"
"KTᵈ","Ver"
"S4","S4.1"
"S4","S4.2"
"S4.1","Grz"
"S4.2","Grz.2"
"S4.2","S4.3"
"S4.3","Grz.3"
"S4.3","S5"
"S5","Triv"
"Triv","Fm"
"Ver","Fm"
"mGL","GL"
"wK4","K4"
